4,abandonar,"to abandon, leave (a place)"
6,abarcar,"to encompass, comprise"
10,abordar,"to board, get in/on"
12,abrazar,"to hug, embrace"
16,abrir,to open
19,absorber,"to absorb, soak up"
26,abundar,to be plentiful
28,aburrir,"to bore, tire"
29,abusar,to abuse
32,acabar,"a. de V: to have just Ved, finish"
35,acariciar,"to stroke, fondle, caress"
37,acceder,"to consent, agree, accede"
43,acelerar,"to accelerate, speed (up)"
45,acentuar,"to accent, stress"
48,aceptar,to accept
51,acercar,to come near
53,acertar,to get right
55,aclarar,"to clarify, clear up"
56,acoger,"to welcome, accept"
57,acomodar,to be/make comfortable
58,acompañar,to accompany
59,aconsejar,"to advise, counsel"
60,acontecer,"to happen, come about"
62,acordar,"to remember, remind"
64,acostar,to put/go to bed
65,acostumbrar,to be accustomed to
68,activar,"to activate, stimulate"
78,actualizar,to update
80,actuar,to act
81,acudir,"to attend, go to, frequent"
84,acumular,"to accumulate, amass"
87,acusar,to accuse
89,adaptar,to adapt
91,adelantar,to move forward
96,adherir,"to adhere, attach"
99,adivinar,"to guess, solve"
102,administrar,"to administer, manage"
106,admirar,to admire
107,admitir,to admit
112,adoptar,to adopt
113,adorar,"to worship, adore"
114,adornar,"to adorn, to decorate"
116,adquirir,"to acquire, get"
121,advertir,"to notice, warn"
125,afectar,to affect
127,aferrar,"to grasp, clutch"
130,afilar,to sharpen
132,afirmar,"to assert, affirm"
133,aflojar,to loosen
136,afrontar,"to face, confront"
138,agachar,"to duck, bend down"
139,agarrar,"to grasp, catch"
143,agitar,"to shake, move"
145,agotar,"to exhaust, wear out, run out"
147,agradar,to please
148,agradecer,to thank for
151,agravar,to aggravate
152,agregar,"to add, gather"
159,agrupar,to (put in) group
161,aguantar,"to endure, put up with"
162,aguardar,"to wait for, await"
167,ahogar,"to drown, choke, flood"
170,ahorrar,"to save (money, time)"
175,aislar,"to isolate, insulate"
178,ajustar,"to adjust, tighten"
183,alarmar,to alarm
185,albergar,"to lodge, harbor"
188,alcanzar,"to reach, catch up with"
191,alegar,"to plead, argue"
192,alegrar,to be/make happy
195,alejar,to move away
197,alentar,to encourage
199,alertar,"to alert, warn"
209,alimentar,"to feed, support"
212,aliviar,"to lighten, relieve, comfort"
218,almacenar,"to store, keep"
220,almorzar,to have lunch
222,alojar,"to host, accommodate"
223,alquilar,"to rent, hire"
230,alterar,"to alter, modify"
231,alternar,to alternate
236,aludir,to allude to
239,alzar,"to life, raise"
243,amanecer,"to dawn, become light"
245,amar,to love
250,amarrar,"to tie, fasten"
258,amenazar,to threaten
264,amontonar,"to gather, accumulate"
267,amparar,"to protect, shelter"
271,ampliar,"to enlarge, increase, expand"
273,añadir,to add
276,analizar,to analyze
281,andar,"to walk, function"
291,animar,to cheer up
297,anotar,"to annotate, jot, note"
310,anticipar,"to anticipate, advance"
314,anular,"to annul, cancel"
315,anunciar,"to announce, advertise"
318,apagar,"to turn off, extinguish"
320,aparecer,to appear
326,apartar,"to move away, separate"
328,apasionar,"to inspire, be passionate about"
329,apelar,"to call upon, appeal to"
334,aplastar,"to flatten, crush, smash"
335,aplaudir,"to clap, applaud"
339,aplicar,to apply
340,apoderar,to take power
342,aportar,"to provide, contribute"
344,apostar,"to wager, bet"
346,apoyar,"to support, lean on"
348,apreciar,to appreciate
349,aprender,to learn
351,apresurar,"to hurry up, speed up"
353,apretar,"to squeeze, tighten, compress"
355,aprobar,"to pass (test), approve"
357,aprovechar,to take advantage of
359,aproximar,"to come near, closer"
362,apuntar,"to point, note, aim"
364,apurar,"to speed up, hurry up"
376,arder,"to burn, glow"
381,argumentar,"to argue, deduce"
385,armar,"to arm, put together"
393,arrancar,"to start (machine), uproot"
394,arrastrar,"to drag, pull"
395,arrebatar,"to snatch, grab"
396,arreglar,"to fix, arrange"
398,arrepentir,"to repent, regret"
400,arriesgar,"to risk, venture"
401,arrodillar,to kneel
402,arrojar,"to throw, fling"
407,arrugar,"to wrinkle, crumple"
408,arruinar,"to ruin, destroy"
412,articular,to articulate
417,asaltar,to assault
420,ascender,"to ascend, be promoted"
424,asegurar,"to assure, secure, insure"
426,asentar,"to settle, establish, locate"
427,asentir,"to assent, agree"
428,asesinar,"to murder, assassinate"
435,asignar,"to assign, allocate"
437,asimilar,to assimilate
441,asistir,to attend
444,asociar,to associate with
445,asomar,"to appear, show, stick (out)"
446,asombrar,"to amaze, astound"
453,aspirar,"to aspire, want"
454,asumir,"to assume, take on"
457,asustar,"to frighten, scare"
458,atacar,to attack
460,atar,to tie (up)
464,atender,"to serve, attend to"
466,atentar,"to attack, attempt, threaten"
472,atormentar,"to torture, torment"
475,atraer,to attract
476,atrapar,"to trap, catch"
478,atravesar,to cross
479,atrever,to dare
480,atribuir,to attribute
486,aumentar,to increase
504,autorizar,"to authorize, legalize"
509,avanzar,"to advance, progress"
513,avergonzar,"to embarrass, shame"
514,averiguar,"to investigate, find out"
516,avisar,"to inform, announce"
522,ayudar,to help
530,bailar,to dance
533,bajar,"to come down, let down"
