word,english_translations
abandonado,abandoned
abierto,"open, unlocked"
absoluto,absolute
abstracto,abstract
absurdo,absurd
abundante,"abundant, plentiful"
aburrido,"boring, bored"
académico,academic
accesible,accessible
aceptable,"acceptable, suitable"
activo,active
actual,current
adecuado,"adequate, suitable"
adicional,additional
administrativo,administrative
admirable,admirable
aéreo,"aerial, air"
africano,African
agradable,"nice, pleasant"
agradecido,"grateful, thankful"
agrario,"agrarian, agricultural"
agresivo,aggressive
agrícola,"agricultural, farming"
agudo,"sharp, acute"
aislado,isolated
ajeno,"not belonging to, detached"
alegre,"happy, lively, cheerful"
alemán,German
alguno,"some, a few"
alimentario,food
alternativo,"alternating, alternative"
alto,"tall, high"
amable,"kind, nice, friendly"
amargo,"bitter, sour, painful"
amarillento,yellowish
amarillo,yellow
ambicioso,"ambitious, greedy"
ambiental,environmental
ambos,both
americano,American
amoroso,"loving, affectionate"
amplio,"wide, ample, broad"
ancho,wide
andaluz,Andalusian
andino,Andean
animado,"excited, lively"
anónimo,anonymous
ansioso,"anxious, eager"
anterior,"previous, preceding"
antiguo,"old, ancient, former"
anual,"annual, yearly"
apagado,turned off
aparente,apparent
aplicado,applied
apretado,"tight, jammed"
apropiado,appropriate
apto,"appropriate, fit, able"
aquel,that (over there)
árabe,Arab
ardiente,"passionate, ardent"
argentino,Argentine
armado,armed
arqueológico,"archaeological, archeological"
arquitectónico,architectural
arrugado,"wrinkled, creased"
artificial,artificial
artístico,artistic
asiático,"Asian, Asiatic,"
asociado,associated
asombroso,amazing
áspero,"rough, coarse, harsh"
asustado,"scared, frightened"
atento,"attentive, polite"
atómico,"atomic, nuclear"
atractivo,attractive
auténtico,authentic
automático,automatic
autónomo,autonomous
autorizado,authorized
avanzado,advanced
azul,blue
bajo,"short, low"
bancario,"bank, banking"
barato,inexpensive
bárbaro,"savage, horrible"
barroco,"baroque, elaborate"
básico,"basic, essential"
bastante,"rather, fairly, quite a bit (ADV)"
bello,"beautiful, fine"
bíblico,biblical
bienvenido,welcome
biológico,biological
blanco,white
blando,"soft, limp, gentle"
boliviano,Bolivian
bonito,"pretty, nice"
borracho,drunk
brasileño,Brazilian
bravo,"fierce, angry"
breve,"brief, short"
brillante,"brilliant, shiny, sparkling"
británico,British
brusco,"brusque, abrupt, sudden"
brutal,"brutal, savage"
bruto,"brutal, coarse, clumsy"
bueno,good
cada,"each, every"
cálido,warm
caliente,"hot, warm, spirited"
callado,"quiet, reserved"
canadiense,Canadian
cansado,"tired, tiresome"
capaz,"capable, able"
capitalista,capitalist
característico,characteristic
cariñoso,affectionate
caro,"expensive, difficult, dear"
casado,married
casero,homemade
castellano,"Castilian, Spanish"
catalán,Catalan
católico,Catholic
celebrado,"celebrated, famous"
célebre,"famous, renowned"
celeste,"heavenly, sky-blue"
central,central
cercano,near
cerebral,cerebral
cerrado,closed
chileno,Chilean
chino,Chinese
chiquito,tiny
ciego,blind
científico,scientific
cierto,"certain, sure, true"
cinematográfico,cinematic
cívico,"civic, civil"
civil,civil
claro,clear
clásico,classic
climático,climatic
clínico,clinical
coherente,"coherent, connected"
colectivo,"collective, joint"
colgado,hanging
colombiano,Colombian
colonial,colonial
colorado,"red, colored"
comercial,"commercial, shopping"
cómico,comic
cómodo,"comfortable, convenient"
compacto,"compact, dense"
competente,"competent, able"
competitivo,competitive
complejo,"complex, complicated"
complementario,"additional, complementary"
completo,complete
complicado,"complicated, complex"
comprometido,"committed, engaged"
compuesto,"composite, mixed"
común,common
comunista,Communist
comunitario,of the community
concreto,"concrete, real"
confuso,"confused, mixed up"
conocido,"known, well-known"
consciente,"conscious, aware"
consecutivo,consecutive
conservador,conservative
considerable,considerable
